Community health worker designation,Gender,What is your current age (in years)?,How long have you worked in this village/Area (In years),What is your marital status,Do you have children?,Highest level of education completed,What type of initial training did you receive to serve as a community health worker?,Other (please specify),An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,What do you remember most clearly from your training?,Other (please specify),"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Do you receive regular refresher or continuous professional training training?,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Other (please specify),Which training topic was most clearly presented? (Select all that applies),Other (please specify),Were you certified after training?,Does having CHP certification influence motivation or performance?,How would you rate the quality of the main training provided to you as a CHP?,Household visits,Health promotion and education,MNCH support,Disease surveillance,Basic NCD screening,Referrals and follow-up,Community mobilization,WASH promotion,Distribution of LLTNs,Defaulter Tracing,How clear are you about the services you are officially expected to provide in your role?,Are you routinely assigned tasks that you believe fall outside your official scheme of service?,How would you rate the overall quality of community health services delivered?,Community health services are consistent across villages/households?,How often do you receive supportive supervision?,Who provides/Supposed to provide supervision: CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,I don't know,Other (please specify),How adequate is the supervision provided?,"Do you have the tools and commodities they need to perform their roles (job aids, reporting tools, referral slips, kits)?",What challenges affect the quality of community health service delivery? (open ended),How are you being engaged as a CHP?,Do you receive a stipend?,"Source of stipends : Yes, from national government","Yes, from county government","Yes, from partners",None,"If yes, how adequate is the remuneration?",Non-financial incentives : None of the above,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,Other (please specify),Does partner funding support community health operations?,"Are you involved in income-generating groups (CHW IGAs, savings groups, cooperatives)?","If yes, which income-generating activities (IGAs) are you involved in?",How effective are these IGAs in supporting CHW motivation and retention?,Inadequate and Unpredictable Funding for Community Health Programs,Insufficient Remuneration and Incentives for Community Health Workers (CHWs),"Limited Financing for Commodities, Supplies, and Logistics","Weak Funding for Supervision, Training, and Data Systems",Poor Integration of Community Health into Broader Health Financing Frameworks,What data collection tools do CHPs use? ,Activity reporting forms,Digital tools (eCHIS),Partner tools,Other (please specify),Are the tools adequate for the work required?,How frequently do you submit reports?,How would you rate data accuracy and completeness?,In your opinion is community-level data used for decision-making?,Who uses the data? : CHPs,CHEWs/CHAs,Facility staff,County HR and Planning,Partners,National programs,Do you receive feedback on the reports you generate?,Who gives you feedback on the reports you generate?,Other (please specify),Is community-level data integrated into KHIS/DHIS2?,Do you know that Kenya is in the process of locally manufacturing vaccines?,Would you be willing to be vaccinated with a locally manufactured vaccine?,Would you be willing to recommend/encourage mothers to get the locally manufactured vaccine.,How would they feel the local community will respond to locally made vaccines?,Any thoughts on what Government can do to improve the uptake of locally made medicines and vaccines? : Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,Assure and Communicate Product Quality,Ensure Competitive Pricing and Affordability,Reduce Overreliance on Imports and Build Resilience,"Communicate the contribution of local pharmaceutical production to job creation, innovation, and broader industrial growth",Local manufacturing strengthens resilience against global shocks and supports timely access to essential medicines and vaccines.
Community health promoter (CHP),Female,25 - 29,03-Apr,Single,No,Primary,On-the-job orientation only,,,,"Communication, Advocacy and Social Mobilization",,,,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",,,WASH,,Community engagement,,Community engagement,,Yes,Not at all,Very high quality,3,4,7,8,2,6,9,1,10,5,Extremely clear,"Yes, frequently",Good,Neither agree nor disagree,Rarely,CHEWs/CHAs,,,,,,Inadequate,Rarely,Lack of payment ,Volunteer,"Yes, i receive but not regularly","Yes, from national government",,,,Adequate,,Uniforms/Badges,Phone,,,,,,None,No,,,5,2,3,1,4,,,Digital tools (eCHIS),,,Yes,Weekly,Excellent,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,None,On-the-job orientation only,,An introduction to the CHV training Course,Community Governance and Leadership,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",,,,,"HIV, TB and Malaria",,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",,,WASH,,,,WASH,,No,Extremely,High quality,1,2,3,4,6,7,8,5,9,10,Extremely clear,"Yes, frequently",Fair,Neither agree nor disagree,Rarely,,,Community health focal persons,,,,Adequate,Rarely,Lack of money,Volunteer,"Yes, i receive but not regularly","Yes, from national government",,,,Adequate,,Uniforms/Badges,Phone,,,,,,None,No,,,2,3,1,5,4,,,Digital tools (eCHIS),,,Yes,Weekly,Excellent,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,25 - 29,05-Jun,Single,No,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,WASH,,No,Extremely,High quality,1,5,4,7,9,2,6,3,10,8,Very clear,Never,Good,Agree,Weekly,CHEWs/CHAs,,,,,,Very adequate,Always,Financial ,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Neutral,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,None,Yes,Non,Not at all effective,4,3,2,1,5,,,Digital tools (eCHIS),,,Yes,Weekly,Excellent,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,25 - 29,03-Apr,Married,Yes,Tertiary (Diploma),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Never,"Maternal, Neonatal and child health (MNCH)",,,Mental Health,WASH,Data management and digital reporting,Community engagement,,WASH,,No,Extremely,High quality,1,3,10,8,5,6,7,2,9,4,Very clear,Never,Good,Agree,Weekly,CHEWs/CHAs,,,,,,Adequate,Always,Delay payment. Lack of data.,Volunteer,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",No,,,5,1,2,3,4,,,Digital tools (eCHIS),,,No,Weekly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,03-Apr,Married,Yes,None,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Never,"Maternal, Neonatal and child health (MNCH)",,,Mental Health,WASH,Data management and digital reporting,Community engagement,,WASH,,No,Extremely,High quality,1,4,6,7,3,8,9,2,10,5,Very clear,Never,Good,Agree,Weekly,CHEWs/CHAs,,,,,,Adequate,Always,"Delayed payment, lack of data",Volunteer,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",No,,,5,1,2,3,4,,,Digital tools (eCHIS),,,No,Weekly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,25 - 29,03-Apr,Single,No,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Never,,,,Mental Health,WASH,,Community engagement,,WASH,,No,Extremely,High quality,5,1,4,2,7,6,9,8,3,10,Very clear,Never,Good,Agree,Weekly,CHEWs/CHAs,,,,,,Adequate,Always,Delti peymant,Volunteer,"Yes, i receive but not regularly","Yes, from national government",,,,Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",No,,,2,5,1,3,4,,,Digital tools (eCHIS),,,No,Weekly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,03-Apr,Married,Yes,Primary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Basic Health Care and Lifesaving Skills,,,Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Never,"Maternal, Neonatal and child health (MNCH)",,,,WASH,,Community engagement,,WASH,,No,Extremely,High quality,1,4,5,6,3,7,8,2,9,10,Very clear,Never,Good,Agree,Weekly,CHEWs/CHAs,,,,,,Adequate,Always,Lock money .lock of data .paid ment,Volunteer,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",No,,,5,4,1,3,2,,,Digital tools (eCHIS),,,No,Weekly,Excellent,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Single,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,,"HIV, TB and Malaria",,,,,,Nutrition ,"HIV, TB and Malaria",,Yes,Extremely,Neither high nor low quality,1,6,2,5,3,4,7,9,10,8,Extremely clear,Rarely,Fair,Agree,Monthly,CHEWs/CHAs,,,,,,Inadequate,Rarely,1. they have no place to sit on the ground like a tent to offer services 1b. people keep moving from their houses 2. Phones are not working well 3. eCHIS is not removing people you have removed after they move 4. it is hard for CHPs to move around during rainy season and they donâ€™t have gumboots and umbrellas 6. remuneration is inadequate ,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government","Yes, from partners",,Very Inadequate,,Uniforms/Badges,Phone,,,,,,"Yes, Partially",Yes,Business woman - selling charcoal ,Somewhat effective,5,2,1,3,4,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Partially,Monthly,Poor,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,35 - 39,Above 10 years,Married,Yes,Tertiary (Diploma),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),,,,,,"Maternal, Neonatal and child health (MNCH)",,No,Considerably,High quality,2,3,4,5,7,6,1,8,9,10,Very clear,Never,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,Availability of regular comprehensive trainings especially knowledge on how to use medicines and having clear identification in the community as well ,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,Minimal,Yes,Chama ,Somewhat effective,2,1,3,4,5,,,Digital tools (eCHIS),,,Yes,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,25 - 29,0 - 2,Single,No,Primary,Standardized government curriculum,,An introduction to the CHV training Course,,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)",,,,WASH,,,,"Maternal, Neonatal and child health (MNCH)",,No,Extremely,High quality,1,6,2,8,10,3,7,5,9,4,Very clear,"Yes, occasionally",Good,Agree,Weekly,CHEWs/CHAs,,,,,,Adequate,Sometimes,#NAME?,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, majorly",No,,,3,1,2,5,4,,,Digital tools (eCHIS),,Referral tools,Yes,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,No,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,WASH,,Yes,Extremely,Neither high nor low quality,1,3,2,4,6,5,7,8,9,10,Extremely clear,Never,Excellent,Neither agree nor disagree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Usually,"No medicine, no transport, ",List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,,,Minimal,Yes,Merry go round ,Very effective,2,1,3,4,5,,,Digital tools (eCHIS),,,Partially,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,09-Oct,Single,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,Management and Use of Community Health Information and Disease Surveillance.,Other (please specify),Non communicable diseases ,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",,,WASH,,,,"Maternal, Neonatal and child health (MNCH)",,No,Extremely,Low quality,1,4,2,3,6,7,8,5,9,10,Very clear,Never,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,Lack of medicines ,Volunteer,"Yes, i receive but not regularly","Yes, from national government",,,,Very Inadequate,,Uniforms/Badges,Phone,,,,,,Minimal,Yes,CBO Malindi CHPs ,Not at all effective,1,2,5,3,4,MOH registers,,Digital tools (eCHIS),,,No,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,09-Oct,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,,"HIV, TB and Malaria",,,,,,"Nutrition, family planning ","HIV, TB and Malaria",,No,Extremely,High quality,1,9,3,6,4,7,5,8,10,2,Extremely clear,"Yes, occasionally",Poor,Agree,Monthly,CHEWs/CHAs,,,,,,Neutral,Rarely,1. they do not have uniforms for work apart from the reflector 2. inadequate remuneration 3. tools they use require internet they do not get bundles 4. Lack of transport to reach the patient and to get the patient to the hospital 5. They do not get support from their linked facilities 6. there is no recognition for CHPs ,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government","Yes, from partners",,Very Inadequate,,Uniforms/Badges,Phone,,,,,,"Yes, majorly",Yes,Business woman ,Somewhat effective,4,1,2,3,5,MOH registers,,Digital tools (eCHIS),,,Partially,Monthly,Poor,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,30 - 34,03-Apr,Married,Yes,Secondary,Standardized government curriculum,,,,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Basic Health Care and Lifesaving Skills,,,Community Nutrition,,,Family Planning,"HIV, TB and Malaria",,Sometimes,"Maternal, Neonatal and child health (MNCH)",,,Mental Health,,Data management and digital reporting,,,Mental Health,,No,Extremely,Very high quality,1,5,2,7,3,4,8,6,9,10,Very clear,Not sure what is outside my scheme of service,Good,Neither agree nor disagree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Sometimes,"Distance, commodities ",List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",No,,,2,1,3,5,4,,,Digital tools (eCHIS),,,Yes,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,30 - 34,0 - 2,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Non communicable diseases (NCDs),,No,Extremely,Very high quality,1,2,5,6,8,7,4,3,9,10,Extremely clear,Never,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,Community doesn't recognize them giving them a hard time,Formal contract from the government,"Yes, i receive but not regularly",,"Yes, from county government",,,Neutral,,,,,,Recognition events,Training opportunities,,"Yes, majorly",Yes,Own business ,Very effective,2,1,4,3,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,25 - 29,03-Apr,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Mental Health,,No,Extremely,Neither high nor low quality,1,4,5,2,6,3,7,8,9,10,Very clear,Never,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,"The new recruits have not been given tools, no umbrellas, no gumboots, no rain coats, the hospital doesn't pick there calls when they get emergency such as a pregnant lady is about to give birth",List of names issued for appointment,"Yes, i receive but not regularly",,"Yes, from county government",,,Inadequate,,,Phone,,,,,,"Yes, Partially",Yes,CBO,Extremely effective,2,1,3,4,5,,Activity reporting forms,Digital tools (eCHIS),,,Partially,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Tertiary (Certificate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,07-Aug,Married,Yes,Primary,On-the-job orientation only,,,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)",,,,,,,,"Maternal, Neonatal and child health (MNCH)",,No,Extremely,Neither high nor low quality,1,2,3,4,5,6,7,8,9,10,Extremely clear,Never,Excellent,Agree,Monthly,CHEWs/CHAs,,,,,,Inadequate,Rarely,Not having the money to be able to refer or assist poor families that donâ€™t have the ability to get to the hospitals ,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government",,,,Very Inadequate,,Uniforms/Badges,Phone,,,,,,"Yes, Partially",Yes,Malindi CHPs Chama ,Not so effective,1,2,3,4,5,MOH registers,,Digital tools (eCHIS),,,Yes,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,0 - 2,Single,Yes,Tertiary (Undergraduate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,03-Apr,Married,Yes,Primary,Standardized government curriculum,,,,,,Basic Health Care and Lifesaving Skills,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,,,,,WASH,,,,Non communicable diseases (NCDs),,No,Moderately,Neither high nor low quality,1,7,4,8,2,6,9,3,10,5,Very clear,Never,Fair,Neither agree nor disagree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,"Financial dependence from the household, lack of tools, delays in stipend",Volunteer,"Yes, i receive but not regularly",,"Yes, from county government",,,Very Inadequate,,,,,,,Training opportunities,,Minimal,Yes,Involved in CBO ,Very effective,5,1,2,3,4,,Activity reporting forms,,,,No,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Single,Yes,Primary,On-the-job orientation only,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Data management and digital reporting,,Yes,Extremely,Very high quality,1,4,3,5,9,8,2,6,10,7,Extremely clear,Rarely,Excellent,Strongly agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,"Vifaa hazitoshi,",Letter of assignment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,,,"Yes, Partially",No,,,1,2,3,4,5,MOH registers,,Digital tools (eCHIS),,,Partially,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,05-Jun,Single,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Always,"Maternal, Neonatal and child health (MNCH)",,Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,,,Mental Health,,Yes,Extremely,Neither high nor low quality,1,7,3,9,2,5,8,4,10,6,Extremely clear,Never,Fair,Disagree,Monthly,CHEWs/CHAs,,,,,,Neutral,Usually,1. Theres no recognition of the work they are doing 2. during rainy season it is difficult to walk around with no umbrellas or gumboots 2. Commodities are insufficient ,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government","Yes, from partners",,Neutral,,Uniforms/Badges,,,,,Training opportunities,,"Yes, Partially",Yes,Business woman - selling food ,Extremely effective,4,3,1,2,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),Partner tools,,Partially,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,30 - 34,0 - 2,Single,No,Tertiary (Certificate),On-the-job orientation only,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,,Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)",,Non communicable diseases (NCDs),Mental Health,,Data management and digital reporting,Community engagement,,"Maternal, Neonatal and child health (MNCH)",,No,Extremely,Neither high nor low quality,1,9,6,7,2,3,5,8,10,4,Very clear,"Yes, occasionally",Good,Agree,Monthly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,,,Adequate,Sometimes,Contraction and recognition,Word of mouth,"Yes, i receive but not regularly",,"Yes, from county government",,,Very Inadequate,,Uniforms/Badges,,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,,"Yes, majorly",Yes,Business,Somewhat effective,4,2,1,3,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),Partner tools,,Yes,Monthly,Excellent,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
