Community health worker designation,Gender,What is your current age (in years)?,How long have you worked in this village/Area (In years),What is your marital status,Do you have children?,Highest level of education completed,What type of initial training did you receive to serve as a community health worker?,Other (please specify),An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,What do you remember most clearly from your training?,Other (please specify),"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Do you receive regular refresher or continuous professional training training?,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Other (please specify),Which training topic was most clearly presented? (Select all that applies),Other (please specify),Were you certified after training?,Does having CHP certification influence motivation or performance?,How would you rate the quality of the main training provided to you as a CHP?,Household visits,Health promotion and education,MNCH support,Disease surveillance,Basic NCD screening,Referrals and follow-up,Community mobilization,WASH promotion,Distribution of LLTNs,Defaulter Tracing,How clear are you about the services you are officially expected to provide in your role?,Are you routinely assigned tasks that you believe fall outside your official scheme of service?,How would you rate the overall quality of community health services delivered?,Community health services are consistent across villages/households?,How often do you receive supportive supervision?,Who provides/Supposed to provide supervision: CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,I don't know,Other (please specify),How adequate is the supervision provided?,"Do you have the tools and commodities they need to perform their roles (job aids, reporting tools, referral slips, kits)?",What challenges affect the quality of community health service delivery? (open ended),How are you being engaged as a CHP?,Do you receive a stipend?,"Source of stipends : Yes, from national government","Yes, from county government","Yes, from partners",None,"If yes, how adequate is the remuneration?",Non-financial incentives : None of the above,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,Other (please specify),Does partner funding support community health operations?,"Are you involved in income-generating groups (CHW IGAs, savings groups, cooperatives)?","If yes, which income-generating activities (IGAs) are you involved in?",How effective are these IGAs in supporting CHW motivation and retention?,Inadequate and Unpredictable Funding for Community Health Programs,Insufficient Remuneration and Incentives for Community Health Workers (CHWs),"Limited Financing for Commodities, Supplies, and Logistics","Weak Funding for Supervision, Training, and Data Systems",Poor Integration of Community Health into Broader Health Financing Frameworks,What data collection tools do CHPs use? ,Activity reporting forms,Digital tools (eCHIS),Partner tools,Other (please specify),Are the tools adequate for the work required?,How frequently do you submit reports?,How would you rate data accuracy and completeness?,In your opinion is community-level data used for decision-making?,Who uses the data? : CHPs,CHEWs/CHAs,Facility staff,County HR and Planning,Partners,National programs,Do you receive feedback on the reports you generate?,Who gives you feedback on the reports you generate?,Other (please specify),Is community-level data integrated into KHIS/DHIS2?,Do you know that Kenya is in the process of locally manufacturing vaccines?,Would you be willing to be vaccinated with a locally manufactured vaccine?,Would you be willing to recommend/encourage mothers to get the locally manufactured vaccine.,How would they feel the local community will respond to locally made vaccines?,Any thoughts on what Government can do to improve the uptake of locally made medicines and vaccines? : Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,Assure and Communicate Product Quality,Ensure Competitive Pricing and Affordability,Reduce Overreliance on Imports and Build Resilience,"Communicate the contribution of local pharmaceutical production to job creation, innovation, and broader industrial growth",Local manufacturing strengthens resilience against global shocks and supports timely access to essential medicines and vaccines.
Community health promoter (CHP),Female,Above 44,0 - 2,Married,Yes,Tertiary (Certificate),Standardized government curriculum,,,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Always,,,,Mental Health,WASH,,,,Community engagement,,No,Considerably,Very high quality,1,2,8,5,10,4,6,7,9,3,Extremely clear,Never,Very poor,Strongly agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Always,In ability of medicine in the health facility ,Letter of assignment,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,,,Fare/Transport support/means of transport,,Training opportunities,,"Yes, Partially",No,,,5,1,4,3,2,,,Digital tools (eCHIS),,,Yes,Monthly,Excellent,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,0 - 2,Married,Yes,Tertiary (Certificate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,03-Apr,Single,Yes,Tertiary (Certificate),NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,,Best Practices for Health Promotion and Disease Prevention,,Management and Use of Community Health Information and Disease Surveillance.,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,,,Family Planning,,Non communicable Diseases,Sometimes,,,Non communicable diseases (NCDs),,WASH,,Community engagement,,WASH,,No,Extremely,Neither high nor low quality,5,1,2,3,4,7,6,8,9,10,Very clear,Rarely,Good,Agree,Weekly,CHEWs/CHAs,Facility - in - charges,,,,,Adequate,Sometimes,Lack of ppe's,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,,,Training opportunities,,Minimal,Yes,Chama,Somewhat effective,1,3,2,4,5,,,Digital tools (eCHIS),,,Partially,Monthly,Good,Rarely,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,0 - 2,Married,Yes,Secondary,Standardized government curriculum,,,,,,,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,,Family Planning,"HIV, TB and Malaria",,Usually,,,,Mental Health,,,Community engagement,,Mental Health,,No,Extremely,High quality,1,3,9,4,5,8,2,6,10,7,Very clear,"Yes, occasionally",Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Always,Security ,Volunteer,"Yes, i receive regularly",,"Yes, from county government",,,Adequate,,,,,,,Training opportunities,,Minimal,Yes,Tents and chairs hiring8=0,Very effective,3,5,2,4,1,,,Digital tools (eCHIS),,,Yes,Monthly,Good,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,30 - 34,03-Apr,Single,No,Tertiary (Undergraduate),Other (please specify),N/A,,,,,,Management and Use of Community Health Information and Disease Surveillance.,Other (please specify),N/A,,,,,,,Non communicable Diseases,Never,,,,,,,,N/A ,Other (please specify),N/A,No,Not at all,Very high quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,07-Aug,Single,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Single,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,05-Jun,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,,"HIV, TB and Malaria",,Mental Health,WASH,,,,Data management and digital reporting,,Yes,Moderately,Very high quality,1,2,3,4,6,7,5,8,9,10,Very clear,"Yes, frequently",Excellent,Agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Usually,Poor working conditions and luck of resources ,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,None of the above,,,,,,,,Minimal,Yes,Selling treated water,Very effective,2,1,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,09-Oct,Married,Yes,Tertiary (Certificate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,03-Apr,Single,Yes,Tertiary (Certificate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
